2018-02-17 00:14:10 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 install libsasl2-2:amd64 <none> 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 status half-installed libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 install libldap-2.4-2:amd64 <none> 2.4.40+dfsg-1+deb8u3
2018-02-17 00:14:10 status half-installed libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-02-17 00:14:10 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-02-17 00:14:10 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-02-17 00:14:10 install libmagic1:amd64 <none> 1:5.22+15-2+deb8u3
2018-02-17 00:14:10 status half-installed libmagic1:amd64 1:5.22+15-2+deb8u3
2018-02-17 00:14:11 status unpacked libmagic1:amd64 1:5.22+15-2+deb8u3
2018-02-17 00:14:11 status unpacked libmagic1:amd64 1:5.22+15-2+deb8u3
2018-02-17 00:14:11 install perl-modules:all <none> 5.20.2-3+deb8u9
2018-02-17 00:14:11 status half-installed perl-modules:all 5.20.2-3+deb8u9
2018-02-17 00:14:11 status unpacked perl-modules:all 5.20.2-3+deb8u9
2018-02-17 00:14:11 status unpacked perl-modules:all 5.20.2-3+deb8u9
2018-02-17 00:14:11 install perl:amd64 <none> 5.20.2-3+deb8u9
2018-02-17 00:14:11 status half-installed perl:amd64 5.20.2-3+deb8u9
2018-02-17 00:14:11 status unpacked perl:amd64 5.20.2-3+deb8u9
2018-02-17 00:14:11 status unpacked perl:amd64 5.20.2-3+deb8u9
2018-02-17 00:14:11 install libasan1:amd64 <none> 4.9.2-10
2018-02-17 00:14:11 status half-installed libasan1:amd64 4.9.2-10
2018-02-17 00:14:11 status unpacked libasan1:amd64 4.9.2-10
2018-02-17 00:14:11 status unpacked libasan1:amd64 4.9.2-10
2018-02-17 00:14:11 install libatomic1:amd64 <none> 4.9.2-10
2018-02-17 00:14:11 status half-installed libatomic1:amd64 4.9.2-10
2018-02-17 00:14:11 status unpacked libatomic1:amd64 4.9.2-10
2018-02-17 00:14:11 status unpacked libatomic1:amd64 4.9.2-10
2018-02-17 00:14:11 install libcilkrts5:amd64 <none> 4.9.2-10
2018-02-17 00:14:11 status half-installed libcilkrts5:amd64 4.9.2-10
2018-02-17 00:14:11 status unpacked libcilkrts5:amd64 4.9.2-10
2018-02-17 00:14:11 status unpacked libcilkrts5:amd64 4.9.2-10
2018-02-17 00:14:11 install libisl10:amd64 <none> 0.12.2-2
2018-02-17 00:14:11 status half-installed libisl10:amd64 0.12.2-2
2018-02-17 00:14:12 status unpacked libisl10:amd64 0.12.2-2
2018-02-17 00:14:12 status unpacked libisl10:amd64 0.12.2-2
2018-02-17 00:14:12 install libcloog-isl4:amd64 <none> 0.18.2-1+b2
2018-02-17 00:14:12 status half-installed libcloog-isl4:amd64 0.18.2-1+b2
2018-02-17 00:14:12 status unpacked libcloog-isl4:amd64 0.18.2-1+b2
2018-02-17 00:14:12 status unpacked libcloog-isl4:amd64 0.18.2-1+b2
2018-02-17 00:14:12 install librtmp1:amd64 <none> 2.4+20150115.gita107cef-1+deb8u1
2018-02-17 00:14:12 status half-installed librtmp1:amd64 2.4+20150115.gita107cef-1+deb8u1
2018-02-17 00:14:12 status unpacked librtmp1:amd64 2.4+20150115.gita107cef-1+deb8u1
2018-02-17 00:14:12 status unpacked librtmp1:amd64 2.4+20150115.gita107cef-1+deb8u1
2018-02-17 00:14:12 install libssh2-1:amd64 <none> 1.4.3-4.1+deb8u1
2018-02-17 00:14:12 status half-installed libssh2-1:amd64 1.4.3-4.1+deb8u1
2018-02-17 00:14:12 status unpacked libssh2-1:amd64 1.4.3-4.1+deb8u1
2018-02-17 00:14:12 status unpacked libssh2-1:amd64 1.4.3-4.1+deb8u1
