2018-02-16 22:52:34 startup archives unpack
2018-02-16 22:52:34 install perl-modules-5.24:all <none> 5.24.1-3+deb9u2
2018-02-16 22:52:34 status half-installed perl-modules-5.24:all 5.24.1-3+deb9u2
2018-02-16 22:52:35 status unpacked perl-modules-5.24:all 5.24.1-3+deb9u2
2018-02-16 22:52:35 status unpacked perl-modules-5.24:all 5.24.1-3+deb9u2
2018-02-16 22:52:35 install libgdbm3:amd64 <none> 1.8.3-14
2018-02-16 22:52:35 status triggers-pending libc-bin:amd64 2.24-11+deb9u1
2018-02-16 22:52:35 status half-installed libgdbm3:amd64 1.8.3-14
2018-02-16 22:52:35 status unpacked libgdbm3:amd64 1.8.3-14
2018-02-16 22:52:35 status unpacked libgdbm3:amd64 1.8.3-14
2018-02-16 22:52:35 install libperl5.24:amd64 <none> 5.24.1-3+deb9u2
2018-02-16 22:52:35 status half-installed libperl5.24:amd64 5.24.1-3+deb9u2
2018-02-16 22:52:35 status unpacked libperl5.24:amd64 5.24.1-3+deb9u2
2018-02-16 22:52:35 status unpacked libperl5.24:amd64 5.24.1-3+deb9u2
2018-02-16 22:52:35 install perl:amd64 <none> 5.24.1-3+deb9u2
2018-02-16 22:52:35 status half-installed perl:amd64 5.24.1-3+deb9u2
2018-02-16 22:52:35 status unpacked perl:amd64 5.24.1-3+deb9u2
2018-02-16 22:52:35 status unpacked perl:amd64 5.24.1-3+deb9u2
2018-02-16 22:52:35 install libssl1.0.2:amd64 <none> 1.0.2l-2+deb9u2
2018-02-16 22:52:35 status half-installed libssl1.0.2:amd64 1.0.2l-2+deb9u2
2018-02-16 22:52:35 status unpacked libssl1.0.2:amd64 1.0.2l-2+deb9u2
2018-02-16 22:52:35 status unpacked libssl1.0.2:amd64 1.0.2l-2+deb9u2
2018-02-16 22:52:35 install libssl1.1:amd64 <none> 1.1.0f-3+deb9u1
2018-02-16 22:52:35 status half-installed libssl1.1:amd64 1.1.0f-3+deb9u1
2018-02-16 22:52:35 status unpacked libssl1.1:amd64 1.1.0f-3+deb9u1
2018-02-16 22:52:35 status unpacked libssl1.1:amd64 1.1.0f-3+deb9u1
2018-02-16 22:52:35 install bzip2:amd64 <none> 1.0.6-8.1
2018-02-16 22:52:35 status half-installed bzip2:amd64 1.0.6-8.1
2018-02-16 22:52:35 status unpacked bzip2:amd64 1.0.6-8.1
2018-02-16 22:52:35 status unpacked bzip2:amd64 1.0.6-8.1
2018-02-16 22:52:35 install libmagic-mgc:amd64 <none> 1:5.30-1+deb9u1
2018-02-16 22:52:35 status half-installed libmagic-mgc:amd64 1:5.30-1+deb9u1
2018-02-16 22:52:36 status unpacked libmagic-mgc:amd64 1:5.30-1+deb9u1
2018-02-16 22:52:36 status unpacked libmagic-mgc:amd64 1:5.30-1+deb9u1
2018-02-16 22:52:36 install libmagic1:amd64 <none> 1:5.30-1+deb9u1
2018-02-16 22:52:36 status half-installed libmagic1:amd64 1:5.30-1+deb9u1
2018-02-16 22:52:36 status unpacked libmagic1:amd64 1:5.30-1+deb9u1
2018-02-16 22:52:36 status unpacked libmagic1:amd64 1:5.30-1+deb9u1
2018-02-16 22:52:36 install file:amd64 <none> 1:5.30-1+deb9u1
2018-02-16 22:52:36 status half-installed file:amd64 1:5.30-1+deb9u1
2018-02-16 22:52:36 status unpacked file:amd64 1:5.30-1+deb9u1
2018-02-16 22:52:36 status unpacked file:amd64 1:5.30-1+deb9u1
2018-02-16 22:52:36 install libgmp10:amd64 <none> 2:6.1.2+dfsg-1
2018-02-16 22:52:36 status half-installed libgmp10:amd64 2:6.1.2+dfsg-1
2018-02-16 22:52:36 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2018-02-16 22:52:36 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2018-02-16 22:52:36 install libnettle6:amd64 <none> 3.3-1+b2
2018-02-16 22:52:36 status half-installed libnettle6:amd64 3.3-1+b2
2018-02-16 22:52:36 status unpacked libnettle6:amd64 3.3-1+b2
2018-02-16 22:52:36 status unpacked libnettle6:amd64 3.3-1+b2
2018-02-16 22:52:36 install libhogweed4:amd64 <none> 3.3-1+b2
2018-02-16 22:52:36 status half-installed libhogweed4:amd64 3.3-1+b2
2018-02-16 22:52:36 status unpacked libhogweed4:amd64 3.3-1+b2
2018-02-16 22:52:36 status unpacked libhogweed4:amd64 3.3-1+b2
2018-02-16 22:52:36 install libidn11:amd64 <none> 1.33-1
2018-02-16 22:52:36 status half-installed libidn11:amd64 1.33-1
2018-02-16 22:52:36 status unpacked libidn11:amd64 1.33-1
